databas,skolnivå,dataset,år,uttag,format,url
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2012,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2012-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2009,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2009-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2002,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2002-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",1998,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/1998-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2000,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2000-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2007,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2007-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2001,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2001-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2008,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2008-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2003,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2003-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2011,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2011-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2004,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2004-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",1997,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/1997-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2006,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/EXCEL/2006-1.xlsx
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2007,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2007-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2004,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2004-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",1999,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/1999-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2008,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2008-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2001,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2001-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2006,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2006-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",1998,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/1998-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2009,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2009-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2011,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2011-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2010,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2010-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2012,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2012-1.xml
