school_type,dataset,path,size,md5
Förskola,"Anställda, andel (%) heltidstjänster med övrig utbildning, enskild regi.",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20%C3%B6vrig%20utbildning%2C%20enskild%20regi..csv,24270,e4c4a68c568fea5f0b32018e1244f04f
Förskola,"Anställda, andel (%) heltidstjänster med övrig utbildning, kommunal regi.",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20%C3%B6vrig%20utbildning%2C%20kommunal%20regi..csv,24514,2c324083354c67f6b82251a2ffcacf96
Förskola,"Anställda, andel (%) årsarbetare med annan utbildning för arbete med barn",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20annan%20utbildning%20f%C3%B6r%20arbete%20med%20barn.csv,25160,bc85f960e221c454f3af183f2293a067
Förskola,"Anställda, andel (%) årsarbetare med annan utbildning för arbete med barn, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20annan%20utbildning%20f%C3%B6r%20arbete%20med%20barn%2C%20enskild%20regi.csv,26557,6dcbfb37a6ea9903304a3112076581c5
Förskola,"Anställda, andel (%) årsarbetare med annan utbildning för arbete med barn, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20annan%20utbildning%20f%C3%B6r%20arbete%20med%20barn%2C%20kommunal%20regi.csv,25157,1c1a9377bfdda343af25ad3602ca2964
Förskola,"Anställda, andel (%) årsarbetare med förskollärarutbildning, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20f%C3%B6rskoll%C3%A4rarutbildning%2C%20enskild%20regi.csv,23234,46c91d4e5d4d667fb8bcb486d3a6c403
Förskola,"Anställda, andel (%) årsarbetare med förskollärarutbildning, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20f%C3%B6rskoll%C3%A4rarutbildning%2C%20kommunal%20regi.csv,23327,ab86de072d80f88c24d4b30fe51fe282
Förskola,"Anställda, andel (%) årsarbetare med förskollärarutbildning, totalt",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20f%C3%B6rskoll%C3%A4rarutbildning%2C%20totalt.csv,23327,e53ffff956a3befc48200d808919a412
Förskola,"Anställda, andel (%) årsarbetare med pedagogisk högskoleutbildning",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20pedagogisk%20h%C3%B6gskoleutbildning.csv,26133,0ef6094c550bdd4a658e18f13d566bd8
Förskola,"Anställda, andel (%) årsarbetare med pedagogisk högskoleutbildning, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20pedagogisk%20h%C3%B6gskoleutbildning%2C%20enskild%20regi.csv,28706,6a0228fd367bf868fa38aa99a7169f96
Förskola,"Anställda, andel (%) årsarbetare med pedagogisk högskoleutbildning, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20pedagogisk%20h%C3%B6gskoleutbildning%2C%20kommunal%20regi.csv,27882,4186c89fb2fc5451d393615d3ab79ed5
Förskola,"Anställda, andel (%) årsarbetare med utbildning för arbete med barn, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20utbildning%20f%C3%B6r%20arbete%20med%20barn%2C%20enskild%20regi.csv,22995,802cdce2efcc2bf743acc96b18759353
Förskola,"Anställda, andel (%) årsarbetare med utbilning för arbete med barn, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20utbilning%20f%C3%B6r%20arbete%20med%20barn%2C%20kommunal%20regi.csv,23136,f63937857161f3d07995220ffdfd6031
Förskola,"Anställda, antal heltidstjänster i enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20antal%20heltidstj%C3%A4nster%20i%20enskild%20regi.csv,28039,918e20838a731887f094805ee594ad20
Förskola,"Anställda, antal heltidstjänster i kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20antal%20heltidstj%C3%A4nster%20i%20kommunal%20regi.csv,34531,f9989ad4ea04fe2c54c1b1a19f994269
Förskola,"Anställda, antal heltidstjänster totalt",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20antal%20heltidstj%C3%A4nster%20totalt.csv,32906,66aabf8249510bdebe3897d22b055b96
Förskola,"Anställda, resurs- och stödpersonal, antal årsarbetare",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20resurs-%20och%20st%C3%B6dpersonal%2C%20antal%20%C3%A5rsarbetare.csv,23116,65cc7093b9acf613cdaa069056a58fd0
Förskola,"Anställda, resurs- och stödpersonal, antal årsarbetare i enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20resurs-%20och%20st%C3%B6dpersonal%2C%20antal%20%C3%A5rsarbetare%20i%20enskild%20regi.csv,22801,068a67ad31718f5760e7e72701a5df12
Förskola,"Anställda, resurs- och stödpersonal, antal årsarbetare i kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20resurs-%20och%20st%C3%B6dpersonal%2C%20antal%20%C3%A5rsarbetare%20i%20kommunal%20regi.csv,23055,d12b1eb0db9a796a93850357cc5c746e
Förskola,Antal barn per årsarbetande förskollärare,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Antal%20barn%20per%20%C3%A5rsarbetande%20f%C3%B6rskoll%C3%A4rare.csv,26922,705fff9d91f076b83ce6b55a00cf4900
Förskola,"Antal barn per årsarbetande förskollärare, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Antal%20barn%20per%20%C3%A5rsarbetande%20f%C3%B6rskoll%C3%A4rare%2C%20enskild%20regi.csv,27088,4c4b255caf5c8d0d2bca2e976db9ba17
Förskola,"Antal barn per årsarbetande förskollärare, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Antal%20barn%20per%20%C3%A5rsarbetande%20f%C3%B6rskoll%C3%A4rare%2C%20kommunal%20regi.csv,26871,ce823a9fedeb3f2dcb676e0fc0945e88
Förskola,"Avdelningar, andel (%) med 16-17 barn",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2016-17%20barn.csv,25606,b5d8777fb2ccc79473a84e6f224ca34c
Förskola,"Avdelningar, andel (%) med 16-17 barn, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2016-17%20barn%2C%20enskild%20regi.csv,23364,ffae26d65dbe5ebda22f9f01e621824a
Förskola,"Avdelningar, andel (%) med 16-17 barn, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2016-17%20barn%2C%20kommunal%20regi.csv,23753,24bd6168026db539a39900c4953d9ae1
Förskola,"Avdelningar, andel (%) med 18 barn eller fler, totalt (1998)",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2018%20barn%20eller%20fler%2C%20totalt%20%281998%29.csv,22970,d2513efadc892bc8345c956ea42f6552
Förskola,"Avdelningar, andel (%) med 18-20 barn",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2018-20%20barn.csv,25909,3c75d453a1d1c2b77ff22598bcdce398
Förskola,"Avdelningar, andel (%) med 18-20 barn, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2018-20%20barn%2C%20enskild%20regi.csv,23488,4e51e7e593485551c35945e577bcbd83
Förskola,"Avdelningar, andel (%) med 18-20 barn, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2018-20%20barn%2C%20kommunal%20regi.csv,23865,07a006bce553812136be74767ed47305
Förskola,"Avdelningar, andel (%) med 21-25 barn",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2021-25%20barn.csv,24742,9a49328003c2bcb4cd73ed31da5c36ac
Förskola,"Avdelningar, andel (%) med 21-25 barn, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2021-25%20barn%2C%20enskild%20regi.csv,23354,50203794f5a45245068c8a533f8a5065
Förskola,"Avdelningar, andel (%) med 21-25 barn, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2021-25%20barn%2C%20kommunal%20regi.csv,23510,4539f98a5f683d19f36b1b3a021bc7c3
Förskola,"Avdelningar, andel (%) med 26 barn eller fler",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2026%20barn%20eller%20fler.csv,22924,f5f5a591c78c68e432377d9172b333a5
Förskola,"Avdelningar, andel (%) med 26 barn eller fler, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2026%20barn%20eller%20fler%2C%20enskild%20regi.csv,22929,8770ca3343373f1a3e4f0dadffb1dbb9
Förskola,"Avdelningar, andel (%) med 26 barn eller fler, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%2026%20barn%20eller%20fler%2C%20kommunal%20regi.csv,22805,39a3e7201081817cf10d2e441b98f9be
